      0.125E+00      0.499E+02      0.196E+03      0.100E+01      0.136E+03      0.125E+00      0.000E+00
      0.125E+00      0.499E+02      0.190E+03      0.100E+01      0.132E+03      0.125E+00      0.000E+00
      0.125E+00      0.135E+04      0.180E+03      0.100E+01      0.125E+03      0.125E+00      0.000E+00
      0.125E+00      0.167E+04      0.170E+03      0.100E+01      0.118E+03      0.125E+00      0.000E+00
      0.125E+00      0.185E+04      0.160E+03      0.100E+01      0.111E+03      0.125E+00      0.000E+00
      0.125E+00      0.205E+04      0.150E+03      0.100E+01      0.104E+03      0.125E+00      0.000E+00
      0.125E+00      0.109E+05      0.140E+03      0.100E+01      0.972E+02      0.125E+00      0.000E+00
      0.125E+00      0.663E+05      0.130E+03      0.100E+01      0.903E+02      0.125E+00      0.000E+00
      0.125E+00      0.833E+06      0.120E+03      0.100E+01      0.833E+02      0.125E+00      0.000E+00
      0.125E+00      0.218E+07      0.110E+03      0.100E+01      0.764E+02      0.125E+00      0.000E+00
      0.125E+00      0.888E+06      0.100E+03      0.100E+01      0.694E+02      0.125E+00      0.000E+00
      0.125E+00      0.643E+06      0.900E+02      0.100E+01      0.625E+02      0.125E+00      0.000E+00
      0.125E+00      0.451E+07      0.800E+02      0.100E+01      0.556E+02      0.125E+00      0.000E+00
      0.125E+00      0.688E+07      0.700E+02      0.100E+01      0.486E+02      0.125E+00      0.000E+00
      0.125E+00      0.132E+08      0.600E+02      0.100E+01      0.417E+02      0.125E+00      0.000E+00
      0.125E+00      0.813E+07      0.500E+02      0.100E+01      0.347E+02      0.125E+00      0.000E+00
      0.125E+00      0.703E+07      0.400E+02      0.100E+01      0.278E+02      0.125E+00      0.000E+00
      0.125E+00      0.156E+08      0.300E+02      0.100E+01      0.208E+02      0.125E+00      0.000E+00
      0.125E+00      0.171E+08      0.200E+02      0.100E+01      0.139E+02      0.125E+00      0.000E+00
      0.125E+00      0.599E+07      0.100E+02      0.100E+01      0.694E+01      0.125E+00      0.000E+00
      0.125E+00      0.300E+08      0.500E+01      0.100E+01      0.347E+01      0.125E+00      0.000E+00
      0.125E+00      0.400E+01      0.196E+03      0.100E+01      0.136E+03      0.125E+00      0.000E+00
