2.37D05	273.D0	0.D0
2.74D05	267.D0	0.D0
3.85D06	261.D0	0.D0
3.87D06	256.D0	0.D0
5.91D06	251.D0	0.D0
6.73D06	239.D0	0.D0
1.29D07	234.D0	0.D0
1.30D07	229.D0	0.D0
1.80D07	223.D0	0.D0
2.13D07	217.D0	0.D0
2.22D07	212.D0	0.D0
2.26D07	201.D0	0.D0
2.26D07	195.D0	0.D0
2.27D07	190.D0	0.D0
2.33D07	185.D0	0.D0
2.43D07	179.D0	0.D0
2.93D07	173.D0	0.D0
3.35D07	168.D0	0.D0
3.39D07	163.D0	0.D0
3.41D07	157.D0	0.D0
3.62D07	151.D0	0.D0
3.87D07	141.D0	0.D0
4.11D07	135.D0	0.D0
4.55D07	129.D0	0.D0
4.57D07	124.D0	0.D0
4.65D07	113.D0	0.D0
4.69D07	107.D0	0.D0
5.18D07	102.D0	0.D0
6.26D07	96.D0	0.D0
6.37D07	91.D0	0.D0
6.41D07	85.D0	0.D0
8.39D07	80.D0	0.D0
9.34D07	74.D0	0.D0
9.37D07	69.D0	0.D0
1.08D08	63.D0	0.D0
1.11D08	58.D0	0.D0
1.15D08	52.D0	0.D0
1.23D08	47.D0	0.D0
1.29D08	41.D0	0.D0
1.38D08	36.D0	0.D0
1.39D08	30.D0	0.D0
1.40D08	25.D0	0.D0
1.42D08	19.D0	0.D0
1.45D08	14.D0	0.D0
1.55D08	8.D0	0.D0
1.77D08	3.D0	0.D0
