2.37D03	137.D0	0.D0
3.85D04	131.D0	0.D0
3.87D04	129.D0	0.D0
5.91D04	126.D0	0.D0
6.73D04	120.D0	0.D0
8.92D04	118.D0	0.D0
1.30D05	115.D0	0.D0
1.71D05	112.D0	0.D0
2.13D05	109.D0	0.D0
2.22D05	107.D0	0.D0
2.26D05	101.D0	0.D0
2.27D05	95.D0	0.D0
2.33D05	92.D0	0.D0
2.43D05	90.D0	0.D0
2.93D05	87.D0	0.D0
2.95D05	84.D0	0.D0
3.39D05	81.D0	0.D0
3.41D05	79.D0	0.D0
3.62D05	76.D0	0.D0
3.87D05	70.D0	0.D0
4.11D05	68.D0	0.D0
4.55D05	65.D0	0.D0
4.57D05	62.D0	0.D0
4.65D05	57.D0	0.D0
4.69D05	54.D0	0.D0
5.14D05	51.D0	0.D0
6.26D05	48.D0	0.D0
6.33D05	46.D0	0.D0
6.41D05	43.D0	0.D0
8.39D05	40.D0	0.D0
9.34D05	37.D0	0.D0
9.37D05	35.D0	0.D0
1.08D06	32.D0	0.D0
1.11D06	29.D0	0.D0
1.15D06	26.D0	0.D0
1.23D06	23.D0	0.D0
1.29D06	21.D0	0.D0
1.38D06	18.D0	0.D0
1.39D06	15.D0	0.D0
1.40D06	12.D0	0.D0
1.42D06	10.D0	0.D0
1.45D06	7.D0	0.D0
1.55D06	4.D0	0.D0
1.77D06	1.D0	0.D0
