 Calculations that do not match the inspection results.
 _______________________________________________________________________________
  # cycles to | as previous, | failure # cycles/ | as previous, |detected cracks
    failure   | period after | applied # cycles  | period after |in subsequent
              |  last insp.  |                   |  last insp.  |inspections
    5.632E+07   -1.262E+07         6.064E-01        -5.270E-01   0    0
    8.630E+07    1.736E+07         9.292E-01         7.252E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   2    0
    7.158E+07    2.639E+06         7.707E-01         1.102E-01   3    0
    7.436E+07    5.417E+06         8.006E-01         2.263E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    8.478E+07    1.584E+07         9.128E-01         6.618E-01   1    0
    2.971E+07   -3.923E+07         3.198E-01        -1.639E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.476E+07    1.582E+07         9.126E-01         6.609E-01   1    0
    8.115E+07    1.221E+07         8.737E-01         5.100E-01   1    0
    8.369E+07    1.475E+07         9.010E-01         6.161E-01   0    1
    3.904E+07   -2.990E+07         4.203E-01        -1.249E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.286E+07    2.392E+07         9.998E-01         9.991E-01   1    1
    8.108E+07    1.214E+07         8.730E-01         5.072E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.728E+07    1.834E+07         9.397E-01         7.659E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.459E+07    1.565E+07         9.108E-01         6.538E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.856E+07    1.962E+07         9.535E-01         8.194E-01   1    0
    7.625E+07    7.312E+06         8.210E-01         3.054E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    2
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.185E+07    2.291E+07         9.889E-01         9.569E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.869E+07    9.751E+06         8.472E-01         4.073E-01   0    2
    7.289E+07    3.952E+06         7.848E-01         1.651E-01   1    2
    5.009E+07   -1.885E+07         5.393E-01        -7.873E-01   1    2
    4.200E+07   -2.694E+07         4.522E-01        -1.125E+00   2    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.954E+07    2.060E+07         9.640E-01         8.604E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.066E+07    1.716E+06         7.607E-01         7.169E-02   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    7.210E+07    3.161E+06         7.763E-01         1.321E-01   0    1
    5.933E+07   -9.613E+06         6.387E-01        -4.016E-01   0    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    8.014E+07    1.119E+07         8.628E-01         4.676E-01   1    0
    8.060E+07    1.166E+07         8.678E-01         4.869E-01   0    1
    8.021E+07    1.127E+07         8.635E-01         4.706E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    7.040E+07    1.458E+06         7.579E-01         6.090E-02   1    1
    8.145E+07    1.251E+07         8.770E-01         5.226E-01   1    0
    9.268E+07    2.374E+07         9.978E-01         9.916E-01   1    1
    8.422E+07    1.527E+07         9.067E-01         6.380E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    8.906E+07    2.012E+07         9.589E-01         8.405E-01   0    1
    8.106E+07    1.212E+07         8.727E-01         5.061E-01   0    1
    3.371E+07   -3.524E+07         3.629E-01        -1.472E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    6.997E+07    1.029E+06         7.533E-01         4.298E-02   2    0
    7.624E+07    7.301E+06         8.209E-01         3.050E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
